1H;1;0.99985;
2H;2;0.00015;
3He;3;0.0000001;
4He;4;0.9999999;
6Li;6;0.075;
7Li;7;0.925;
9Be;9;1;
10B;10;0.199;
11B;11;0.801;
12C;12;0.9889;
13C;13;0.0111;
14N;14;0.9964;
15N;15;0.0036;
16O;16;0.9976;
17O;17;0.0004;
18O;18;0.002;
19F;19;1;
20Ne;20;0.905;
21Ne;21;0.003;
22Ne;22;0.092;
23Na;23;1;
24Mg;24;0.79;
25Mg;25;0.10;
26Mg;26;0.11;
27Al;27;1;
28Si;28;0.922;
29Si;29;0.047;
30Si;30;0.031;
31P;31;1;
32S;32;0.95;
33S;33;0.007;
34S;34;0.043;
35Cl;35;0.758;
37Cl;37;0.242;
36Ar;36;0.003;
38Ar;38;0.001;
40Ar;40;0.996;
39K;39;0.933;
40K;40;0.0001;
41K;41;0.067;
40Ca;40;0.969;
42Ca;42;0.006;
44Ca;44;0.021;
45Sc;45;1;
46Ti;46;0.083;
47Ti;47;0.074;
48Ti;48;0.737;
50V;50;0.002;
51V;51;0.998;
50Cr;50;0.043;
52Cr;52;0.838;
53Cr;53;0.96;
55Mn;55;1;
54Fe;54;0.058;
56Fe;56;0.918;
57Fe;57;0.021;
59Co;59;1;
58Ni;58;0.681;
60Ni;60;0.262;
62Ni;62;0.036;
63Cu;63;0.692;
65Cu;65;0.308;
64Zn;64;0.486;
66Zn;66;0.279;
68Zn;68;0.188;
69Ga;69;0.601;
71Ga;71;0.399;
70Ge;70;0.204;
72Ge;72;0.273;
74Ge;74;0.367;
75As;75;1;
76Se;76;0.094;
78Se;78;0.238;
80Se;80;0.496;
79Br;79;0.507;
81Br;81;0.493;
82Kr;82;0.116;
84Kr;84;0.57;
86Kr;86;0.173;
85Rb;85;0.722;
87Rb;87;0.278;
86Sr;86;0.099;
87Sr;87;0.07;
88Sr;88;0.826;
89Y;89;1;
90Zr;90;0.515;
92Zr;92;0.171;
94Zr;94;0.174;
93Nb;93;1;
92Mo;92;0.1484;
94Mo;94;0.0925;
95Mo;95;0.159;
96Mo;96;0.167;
97Mo;97;0.0955;
98Mo;98;0.241;
96Ru;96;0.052;
98Ru;98;0.0188;
99Ru;99;0.127;
100Mo;100;0.0963;
101Ru;101;0.17;
102Ru;102;0.316;
104Ru;104;0.187;
103Rh;103;1;
105Pd;105;0.223;
106Pd;106;0.273;
108Pd;108;0.265;
107Ag;107;0.518;
109Ag;109;0.482;
111Cd;111;0.128;
112Cd;112;0.241;
114Cd;114;0.287;
113In;113;0.043;
115In;115;0.957;
116Sn;116;0.145;
118Sn;118;0.242;
120Sn;120;0.326;
121Sb;121;0.572;
123Sb;123;0.428;
126Te;126;0.19;
128Te;128;0.317;
130Te;130;0.338;
127I;127;1;
129Xe;129;0.264;
131Xe;131;0.212;
132Xe;132;0.269;
133Cs;133;1;
136Ba;136;0.079;
137Ba;137;0.112;
138Ba;138;0.717;
138La;138;0.001;
139La;139;0.999;
138Ce;138;0.003;
140Ce;140;0.884;
142Ce;142;0.111;
141Pr;141;1;
142Nd;142;0.271;
144Nd;144;0.238;
146Nd;146;0.172;
147Pm;147;1;
147Sm;147;0.15;
152Sm;152;0.267;
154Sm;154;0.227;
151Eu;151;0.478;
153Eu;153;0.522;
156Gd;156;0.205;
158Gd;158;0.248;
160Gd;160;0.219;
159Tb;159;1;
162Dy;162;0.255;
163Dy;163;0.249;
164Dy;164;0.282;
165Ho;165;1;
166Er;166;0.335;
167Er;167;0.229;
168Er;168;0.27;
169Tm;169;1;
172Yb;172;0.219;
173Yb;173;0.161;
174Yb;174;0.318;
175Lu;175;0.974;
176Lu;176;0.026;
177Hf;177;0.186;
178Hf;178;0.273;
180Hf;180;0.351;
180Ta;180;0.0001;
181Ta;181;0.9999;
182W;182;0.265;
184W;184;0.306;
186W;186;0.284;
185Re;185;0.374;
187Re;187;0.626;
189Os;189;0.161;
190Os;190;0.263;
192Os;192;0.408;
191Ir;191;0.373;
193Ir;193;0.627;
194Pt;194;0.33;
195Pt;195;0.338;
196Pt;196;0.252;
197Au;197;1;
199Hg;199;0.169;
200Hg;200;0.231;
202Hg;202;0.299;
203Tl;203;0.295;
205Tl;205;0.705;
206Pb;206;0.241;
207Pb;207;0.221;
208Pb;208;0.525;
209Bi;209;1;
209Po;209;1;
210At;210;1;
222Rn;222;1;
223Fr;223;1;
226Ra;226;1;
227Ac;227;1;
230Th;230;0.000005;
232Th;232;0.999995;
231Pa;231;0.99999999999;
234Pa;234;0.00000000001;
234U;234;0.00005;
235U;235;0.0072;
238U;238;0.99275;
237Np;237;1;
244Pu;244;1;
243Am;243;1;
247Cm;247;1;
247Bk;247;1;
251Cf;251;1;
252Es;252;1;
257Fm;257;1;
258Md;258;1;
259No;259;1;
262Lr;262;1;
261Rf;261;1;
268Db;268;1;
266Sg;266;1;
272Bh;272;1;
269Hs;269;1;
268Mt;268;1;
281Ds;281;1;
280Rg;280;1;
285Uub;285;1;
284Uut;284;1;
289Uuq;289;1;
288Uup;288;1;
293Uuh;293;1;
294Uuo;294;1;
